"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"GENERATION_PER_YEAR";"STATISTIC";"GEOGRAPHIC_EXTENT";"MIN_ALTITUDE_IN_M";"MAX_ALTITUDE_IN_M";"SOURCE";"DATASET_ID";"DATASET_TITLE";"CD_TRAIT";"STATISTIC_ID";"GEOGRAPHIC_EXTENT_ID";"SOURCE_ID"
"bfVol1";"Andrena cineraria (Linnaeus, 1758)";"53077";"Andrena cineraria";"(Linnaeus, 1758)";53077;"Andrena cineraria";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949598;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol2";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";949654;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol3";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949656;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol4";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949652;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol5";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Müller, 1766)";53079;"Andrena fulva";"(Müller, 1766)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";"";"Andrena";"Arthropodes";"Insectes";"Hyménoptères";2;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";949658;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol6";"Anthidium manicatum (Linnaeus, 1758)";"53081";"Anthidium manicatum";"(Linnaeus, 1758)";53081;"Anthidium manicatum";"(Linnaeus, 1758)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Genoud D. 2016. Diversité des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";2;"Abeilles";949904;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444912"
"bfVol7";"Anthidium montanum Morawitz, 1865";"53082";"Anthidium montanum";"Morawitz, 1865";53082;"Anthidium montanum";"Morawitz, 1865";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949906;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol8";"Anthidium punctatum Latreille, 1809";"53083";"Anthidium punctatum";"Latreille, 1809";53083;"Anthidium punctatum";"Latreille, 1809";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Megachilidae";"Megachilinae";"Anthidiini";"Anthidium";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949910;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol9";"Bombus cullumanus (Kirby, 1802)";"53093";"Bombus cullumanus";"(Kirby, 1802)";53093;"Bombus cullumanus";"(Kirby, 1802)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949981;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
"bfVol10";"Bombus hortorum (Linnaeus, 1761)";"53095";"Bombus hortorum";"(Linnaeus, 1761)";53095;"Bombus hortorum";"(Linnaeus, 1761)";"directe";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apidae";"Apinae";"Bombini";"Bombus";"Arthropodes";"Insectes";"Hyménoptères";1;"";"";NA;NA;"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";2;"Abeilles";949989;"";"";"https://taxref.mnhn.fr/taxref-web/docs/444787"
